body,split,bars,direct_hit_rate,opposite_hit_rate,either_hit_rate,shifted_control_mean,excess_percentage_points,control_percentile,saturated_bars
Sun,train,1825,0.021369863013698632,0.021369863013698632,0.042739726027397264,0.03865650255058176,0.40832234768155007,0.803347280334728,3
Sun,validation,1096,0.15328467153284672,0.12682481751824817,0.2664233576642336,0.2594333139907767,0.6990043673456903,0.8870292887029289,47
Sun,test,1282,0.20826833073322934,0.20124804992199688,0.3915756630265211,0.379803392972539,1.177227005398207,0.7531380753138075,88
Mercury,train,1825,0.025753424657534246,0.01643835616438356,0.041643835616438356,0.03796870522152806,0.36751303949102976,0.7656903765690377,3
Mercury,validation,1096,0.14233576642335766,0.12864963503649635,0.2563868613138686,0.25988379195553246,-0.34969306416638424,0.2928870292887029,47
Mercury,test,1282,0.20436817472698907,0.20670826833073322,0.3861154446177847,0.3804496112898909,0.5665833327893777,0.6150627615062761,88
Venus,train,1825,0.01643835616438356,0.016986301369863014,0.033424657534246574,0.0382919699661833,-0.4867312431936728,0.1087866108786611,3
Venus,validation,1096,0.1332116788321168,0.12864963503649635,0.2518248175182482,0.25962037687444645,-0.7795559356198245,0.3138075313807531,47
Venus,test,1282,0.18876755070202808,0.20202808112324494,0.359594383775351,0.3784652641335779,-1.8870880358226871,0.17573221757322174,88
Mars,train,1825,0.021369863013698632,0.012054794520547946,0.033424657534246574,0.0383676276723792,-0.49429701381326285,0.0502092050209205,3
Mars,validation,1096,0.1332116788321168,0.15784671532846714,0.2782846715328467,0.2594562196500015,1.882845188284521,0.9790794979079498,47
Mars,test,1282,0.19422776911076442,0.21840873634945399,0.38923556942277693,0.37940848177860165,0.9827087644175281,0.9330543933054394,88
Jupiter,train,1825,0.009315068493150684,0.021917808219178082,0.03123287671232877,0.038326359832635985,-0.7093483120307217,0.08786610878661087,3
Jupiter,validation,1096,0.11861313868613138,0.15237226277372262,0.25821167883211676,0.25939513789206853,-0.11834590599517636,0.46443514644351463,47
Jupiter,test,1282,0.19656786271450857,0.1856474258970359,0.36349453978159124,0.37944111906735684,-1.5946579285765594,0.16736401673640167,88
Saturn,train,1825,0.007123287671232876,0.025753424657534246,0.03287671232876712,0.03836762767237921,-0.5490915343612089,0.28451882845188287,3
Saturn,validation,1096,0.11496350364963503,0.1624087591240876,0.26277372262773724,0.2606396787099533,0.21340439177839343,0.4811715481171548,47
Saturn,test,1282,0.22386895475819032,0.17082683307332294,0.3720748829953198,0.3808934784169609,-0.8818595421641096,0.4895397489539749,88
Uranus,train,1825,0.00821917808219178,0.02410958904109589,0.03232876712328767,0.03843182208975755,-0.610305496646988,0.2217573221757322,3
Uranus,validation,1096,0.11496350364963503,0.1678832116788321,0.270985401459854,0.2603953516782213,1.0590049781632693,0.7322175732217573,47
Uranus,test,1282,0.1731669266770671,0.20670826833073322,0.358814352574103,0.3787589997323742,-1.9944647158271211,0.21338912133891214,88
Neptune,train,1825,0.01643835616438356,0.020821917808219178,0.03726027397260274,0.03869777039032498,-0.1437496417722242,0.42677824267782427,3
Neptune,validation,1096,0.12408759124087591,0.14872262773722628,0.25821167883211676,0.25914317564059497,-0.09314968084782049,0.502092050209205,47
Neptune,test,1282,0.20436817472698907,0.22464898595943839,0.4040561622464899,0.38063890756467084,2.341725468181904,0.8786610878661087,88
Pluto,train,1825,0.00821917808219178,0.01589041095890411,0.02410958904109589,0.03800538774574425,-1.389579870464836,0.016736401673640166,3
Pluto,validation,1096,0.15602189781021897,0.10036496350364964,0.24452554744525548,0.2587614146535137,-1.4235867208258228,0.06276150627615062,47
Pluto,test,1282,0.22854914196567863,0.20514820592823713,0.4110764430577223,0.3806389075646707,3.0437535493051557,0.9623430962343096,88
Moon,train,1825,0.021917808219178082,0.0263013698630137,0.04821917808219178,0.03843870006304809,0.9780478019143696,0.9874476987447699,3
Moon,validation,1096,0.1386861313868613,0.13412408759124086,0.2636861313868613,0.25951730140793455,0.4168829978926758,0.6276150627615062,47
Moon,test,1282,0.18798751950078002,0.17784711388455537,0.3416536661466459,0.3796434702576388,-3.79898041109929,0.0,88
