term,split,kind,bodies,family,events,pivot_matches,match_rate,calendar_baseline,lift,interpretation
short,validation,aspect,Uranus/Moon,square,80,37,0.4625,0.4206204379562044,1.0995661605206073,Descriptive retrospective association; no significance claim
short,validation,aspect,Sun/Moon,conjunction,37,17,0.4594594594594595,0.4206204379562044,1.0923374567626194,Descriptive retrospective association; no significance claim
short,validation,aspect,Pluto/Moon,conjunction,40,20,0.5,0.4206204379562044,1.1887201735357917,Descriptive retrospective association; no significance claim
short,validation,aspect,Mars/Moon,square,77,38,0.4935064935064935,0.4206204379562044,1.173282249204158,Descriptive retrospective association; no significance claim
short,validation,aspect,Mercury/Moon,conjunction,37,16,0.43243243243243246,0.4206204379562044,1.0280823122471712,Descriptive retrospective association; no significance claim
short,validation,aspect,Sun/Pluto,conjunction,3,2,0.6666666666666666,0.4206204379562044,1.5849602313810556,Descriptive retrospective association; no significance claim
short,validation,aspect,Jupiter/Moon,opposition,40,14,0.35,0.4206204379562044,0.8321041214750541,Descriptive retrospective association; no significance claim
short,validation,24_band,Mars,,56,35,0.625,0.4206204379562044,1.4859002169197395,Descriptive retrospective association; no significance claim
short,validation,24_band,Moon,,640,272,0.425,0.4206204379562044,1.0104121475054229,Descriptive retrospective association; no significance claim
short,validation,simultaneous_24,Mars/Moon,,23,15,0.6521739130434783,0.4206204379562044,1.5505045741771195,Descriptive retrospective association; no significance claim
short,validation,aspect,Saturn/Moon,sextile,80,39,0.4875,0.4206204379562044,1.1590021691973968,Descriptive retrospective association; no significance claim
short,validation,aspect,Venus/Moon,conjunction,37,16,0.43243243243243246,0.4206204379562044,1.0280823122471712,Descriptive retrospective association; no significance claim
short,validation,ingress,Moon,,482,204,0.42323651452282157,0.4206204379562044,1.0062195659805042,Descriptive retrospective association; no significance claim
short,validation,aspect,Neptune/Moon,semisextile,80,32,0.4,0.4206204379562044,0.9509761388286334,Descriptive retrospective association; no significance claim
short,validation,aspect,Sun/Mars,square,2,0,0.0,0.4206204379562044,0.0,Descriptive retrospective association; no significance claim
short,validation,aspect,Uranus/Moon,sextile,80,32,0.4,0.4206204379562044,0.9509761388286334,Descriptive retrospective association; no significance claim
short,validation,aspect,Mercury/Jupiter,opposition,3,1,0.3333333333333333,0.4206204379562044,0.7924801156905278,Descriptive retrospective association; no significance claim
short,validation,aspect,Pluto/Moon,semisextile,80,35,0.4375,0.4206204379562044,1.0401301518438177,Descriptive retrospective association; no significance claim
short,validation,aspect,Mars/Moon,trine,77,28,0.36363636363636365,0.4206204379562044,0.8645237625714849,Descriptive retrospective association; no significance claim
short,validation,aspect,Sun/Moon,semisextile,74,27,0.36486486486486486,0.4206204379562044,0.8674444509585507,Descriptive retrospective association; no significance claim
short,validation,aspect,Jupiter/Moon,quincunx,80,29,0.3625,0.4206204379562044,0.861822125813449,Descriptive retrospective association; no significance claim
short,validation,aspect,Mercury/Moon,semisextile,74,29,0.3918918918918919,0.4206204379562044,0.9316995954739988,Descriptive retrospective association; no significance claim
short,validation,aspect,Saturn/Moon,square,80,33,0.4125,0.4206204379562044,0.9806941431670281,Descriptive retrospective association; no significance claim
short,validation,aspect,Venus/Moon,semisextile,73,29,0.3972602739726027,0.4206204379562044,0.9444626036311768,Descriptive retrospective association; no significance claim
short,validation,24_band,Mercury,,101,38,0.37623762376237624,0.4206204379562044,0.8944825068190115,Descriptive retrospective association; no significance claim
short,validation,aspect,Neptune/Moon,conjunction,40,18,0.45,0.4206204379562044,1.0698481561822126,Descriptive retrospective association; no significance claim
short,validation,simultaneous_24,Mercury/Moon,,30,14,0.4666666666666667,0.4206204379562044,1.109472161966739,Descriptive retrospective association; no significance claim
short,validation,aspect,Uranus/Moon,semisextile,80,27,0.3375,0.4206204379562044,0.8023861171366594,Descriptive retrospective association; no significance claim
short,validation,aspect,Pluto/Moon,sextile,81,39,0.48148148148148145,0.4206204379562044,1.1446935004418735,Descriptive retrospective association; no significance claim
short,validation,aspect,Mars/Moon,quincunx,77,29,0.37662337662337664,0.4206204379562044,0.8953996112347522,Descriptive retrospective association; no significance claim
short,validation,aspect,Sun/Moon,sextile,75,29,0.38666666666666666,0.4206204379562044,0.9192769342010122,Descriptive retrospective association; no significance claim
short,validation,aspect,Jupiter/Moon,trine,80,29,0.3625,0.4206204379562044,0.861822125813449,Descriptive retrospective association; no significance claim
short,validation,aspect,Sun/Jupiter,opposition,3,2,0.6666666666666666,0.4206204379562044,1.5849602313810556,Descriptive retrospective association; no significance claim
short,validation,aspect,Mercury/Moon,sextile,74,29,0.3918918918918919,0.4206204379562044,0.9316995954739988,Descriptive retrospective association; no significance claim
short,validation,aspect,Saturn/Moon,trine,80,33,0.4125,0.4206204379562044,0.9806941431670281,Descriptive retrospective association; no significance claim
short,validation,aspect,Mercury/Saturn,sextile,10,3,0.3,0.4206204379562044,0.713232104121475,Descriptive retrospective association; no significance claim
short,validation,aspect,Venus/Moon,sextile,74,26,0.35135135135135137,0.4206204379562044,0.8353168787008266,Descriptive retrospective association; no significance claim
short,validation,aspect,Uranus/Moon,conjunction,40,16,0.4,0.4206204379562044,0.9509761388286334,Descriptive retrospective association; no significance claim
short,validation,aspect,Pluto/Moon,square,80,35,0.4375,0.4206204379562044,1.0401301518438177,Descriptive retrospective association; no significance claim
short,validation,aspect,Mars/Moon,opposition,38,19,0.5,0.4206204379562044,1.1887201735357917,Descriptive retrospective association; no significance claim
short,validation,aspect,Mercury/Venus,conjunction,8,4,0.5,0.4206204379562044,1.1887201735357917,Descriptive retrospective association; no significance claim
short,validation,aspect,Jupiter/Moon,square,80,35,0.4375,0.4206204379562044,1.0401301518438177,Descriptive retrospective association; no significance claim
short,validation,aspect,Sun/Moon,square,74,32,0.43243243243243246,0.4206204379562044,1.0280823122471712,Descriptive retrospective association; no significance claim
short,validation,24_band,Sun,,90,46,0.5111111111111111,0.4206204379562044,1.2151361773921425,Descriptive retrospective association; no significance claim
short,validation,aspect,Saturn/Moon,quincunx,80,31,0.3875,0.4206204379562044,0.9212581344902385,Descriptive retrospective association; no significance claim
short,validation,aspect,Venus/Moon,square,74,29,0.3918918918918919,0.4206204379562044,0.9316995954739988,Descriptive retrospective association; no significance claim
short,validation,simultaneous_24,Moon/Sun,,18,11,0.6111111111111112,0.4206204379562044,1.452880212099301,Descriptive retrospective association; no significance claim
short,validation,aspect,Mercury/Moon,square,74,30,0.40540540540540543,0.4206204379562044,0.9638271677317231,Descriptive retrospective association; no significance claim
short,validation,aspect,Mars/Jupiter,square,5,1,0.2,0.4206204379562044,0.4754880694143167,Descriptive retrospective association; no significance claim
