term,horizon_days,body,extension,train_cases,validation_cases,test_cases,nonoverlap_cases,validation_skill,test_skill,test_rmse_logreturn,baseline_rmse,zero_return_rmse,nonoverlap_mean_loss_gain,p,ci_low,ci_high,holm_p,validation_rank,supported
short,7,Sun,False,1819,1089,1275,183,-0.014757600120834269,0.012483637577889284,0.07686613009059823,0.07735045388469498,0.07450624569654542,0.00015283902259217972,0.045,2.5423808392966346e-07,0.0003259317422083265,1.0,3,False
short,7,Mercury,False,1819,1089,1275,183,-0.010350667446407336,-0.05898467882321601,0.07959901706931459,0.07735045388469498,0.07450624569654542,-0.0003245508700812602,0.893,-0.0008721559447575395,8.956902133175788e-05,1.0,2,False
short,7,Venus,False,1819,1089,1275,183,-0.039374948977158875,-0.017488178394248655,0.07802388165772071,0.07735045388469498,0.07450624569654542,-0.00011726821696583602,0.7225,-0.0005254533361415189,0.00028967981080606307,1.0,4,False
short,7,Mars,False,1819,1089,1275,183,-0.32730796671833184,-0.11608250549931398,0.08171673702061188,0.07735045388469498,0.07450624569654542,-0.000681448170371648,0.978,-0.00134333288368729,-6.076219503425363e-05,1.0,6,False
short,7,Jupiter,False,1819,1089,1275,183,-1.9953622075845927,-0.5301910157406673,0.09568319978253338,0.07735045388469498,0.07450624569654542,-0.0032130853265727437,1.0,-0.0041534419743424825,-0.0023218317638699255,1.0,8,False
short,7,Saturn,False,1819,1089,1275,183,-2.712137016632401,0.06720043352951632,0.07470626675048433,0.07735045388469498,0.07450624569654542,0.000447796398717918,0.089,-0.00014892712720689417,0.001105123531319742,1.0,9,False
short,7,Uranus,False,1819,1089,1275,183,-0.2706927517368314,-0.07745012225772396,0.08028999924346032,0.07735045388469498,0.07450624569654542,-0.00034166883505752833,0.796,-0.0012007344319919179,0.0005113574795437931,1.0,5,False
short,7,Neptune,False,1819,1089,1275,183,-0.9510226209533361,-0.013024089386918236,0.07785253400188025,0.07735045388469498,0.07450624569654542,-0.00015049813365606714,0.695,-0.0008495641658877477,0.00046670981587378026,1.0,7,False
short,7,Pluto,False,1819,1089,1275,183,-3.133146750151554,-0.0034418144883585633,0.07748345250028567,0.07735045388469498,0.07450624569654542,3.9217407497947665e-05,0.4075,-0.00028921446878812327,0.0004026718859906014,1.0,10,False
short,7,Moon,True,1819,1089,1275,183,0.006215065393078256,-0.00969797017151186,0.07772462010755096,0.07735045388469498,0.07450624569654542,-9.692706635926456e-05,0.842,-0.00028129021104612525,0.00010536894879449924,1.0,1,False
intermediate,90,Sun,False,1736,1006,1192,14,-0.004629109944022769,0.0021992624726941967,0.43982651945490736,0.440310965649133,0.2973176421147543,-0.007242713865000521,,,,1.0,2,False
intermediate,90,Mercury,False,1736,1006,1192,14,-0.027144602390401618,0.0005408793001450141,0.4401918719996592,0.440310965649133,0.2973176421147543,-0.014534672106243299,,,,1.0,3,False
intermediate,90,Venus,False,1736,1006,1192,14,-0.29034878791727925,-0.007653900105418554,0.4419928017054388,0.440310965649133,0.2973176421147543,0.013628449579863292,,,,1.0,4,False
intermediate,90,Mars,False,1736,1006,1192,14,-2.3149221167462817,-0.3736344526192803,0.5160539289752238,0.440310965649133,0.2973176421147543,-0.04822449310624825,,,,1.0,5,False
intermediate,90,Jupiter,False,1736,1006,1192,14,-11.51486832567769,-8.5664257029828,1.3618659226856809,0.440310965649133,0.2973176421147543,-1.6775849803231753,,,,1.0,9,False
