term,timestamp,close,confirmed_at,retrospective
short,2010-07-26 00:00:00+00:00,0.0505,2010-08-02 00:00:00+00:00,True
short,2010-07-30 00:00:00+00:00,0.0699,2010-08-06 00:00:00+00:00,True
short,2010-08-05 00:00:00+00:00,0.057,2010-08-12 00:00:00+00:00,True
short,2010-08-10 00:00:00+00:00,0.0709999999999999,2010-08-17 00:00:00+00:00,True
short,2010-08-18 00:00:00+00:00,0.07,2010-08-25 00:00:00+00:00,True
short,2010-08-31 00:00:00+00:00,0.065,2010-09-07 00:00:00+00:00,True
short,2010-09-01 00:00:00+00:00,0.0599999999999999,2010-09-08 00:00:00+00:00,True
short,2010-09-12 00:00:00+00:00,0.0637,2010-09-19 00:00:00+00:00,True
short,2010-09-18 00:00:00+00:00,0.0589999999999999,2010-09-25 00:00:00+00:00,True
short,2010-09-20 00:00:00+00:00,0.0627,2010-09-27 00:00:00+00:00,True
short,2010-09-22 00:00:00+00:00,0.0627,2010-09-29 00:00:00+00:00,True
short,2010-10-04 00:00:00+00:00,0.0611,2010-10-11 00:00:00+00:00,True
short,2010-10-14 00:00:00+00:00,0.105,2010-10-21 00:00:00+00:00,True
short,2010-11-07 00:00:00+00:00,0.39,2010-11-14 00:00:00+00:00,True
short,2010-11-23 00:00:00+00:00,0.2878999999999999,2010-11-30 00:00:00+00:00,True
short,2010-12-06 00:00:00+00:00,0.19,2010-12-13 00:00:00+00:00,True
short,2010-12-21 00:00:00+00:00,0.267,2010-12-28 00:00:00+00:00,True
short,2010-12-30 00:00:00+00:00,0.2999999999999999,2011-01-06 00:00:00+00:00,True
short,2010-12-31 00:00:00+00:00,0.2999999999999999,2011-01-07 00:00:00+00:00,True
short,2011-01-19 00:00:00+00:00,0.313,2011-01-26 00:00:00+00:00,True
short,2011-01-20 00:00:00+00:00,0.313,2011-01-27 00:00:00+00:00,True
short,2011-02-10 00:00:00+00:00,1.09,2011-02-17 00:00:00+00:00,True
short,2011-02-22 00:00:00+00:00,0.8345,2011-03-01 00:00:00+00:00,True
short,2011-03-21 00:00:00+00:00,0.7410999999999999,2011-03-28 00:00:00+00:00,True
short,2011-03-26 00:00:00+00:00,0.8838,2011-04-02 00:00:00+00:00,True
short,2011-04-05 00:00:00+00:00,0.68,2011-04-12 00:00:00+00:00,True
short,2011-05-14 00:00:00+00:00,8.198,2011-05-21 00:00:00+00:00,True
short,2011-05-21 00:00:00+00:00,5.5904,2011-05-28 00:00:00+00:00,True
short,2011-06-09 00:00:00+00:00,29.6,2011-06-16 00:00:00+00:00,True
short,2011-06-12 00:00:00+00:00,14.6511,2011-06-19 00:00:00+00:00,True
short,2011-06-24 00:00:00+00:00,17.51,2011-07-01 00:00:00+00:00,True
short,2011-06-25 00:00:00+00:00,17.51,2011-07-02 00:00:00+00:00,True
short,2011-06-26 00:00:00+00:00,17.51,2011-07-03 00:00:00+00:00,True
short,2011-07-06 00:00:00+00:00,12.9069,2011-07-13 00:00:00+00:00,True
short,2011-07-18 00:00:00+00:00,13.16,2011-07-25 00:00:00+00:00,True
short,2011-07-26 00:00:00+00:00,14.0478,2011-08-02 00:00:00+00:00,True
short,2011-08-07 00:00:00+00:00,6.55,2011-08-14 00:00:00+00:00,True
short,2011-08-20 00:00:00+00:00,11.65,2011-08-27 00:00:00+00:00,True
short,2011-08-27 00:00:00+00:00,8.179399999999998,2011-09-03 00:00:00+00:00,True
short,2011-09-18 00:00:00+00:00,4.77,2011-09-25 00:00:00+00:00,True
short,2011-09-21 00:00:00+00:00,6.1119,2011-09-28 00:00:00+00:00,True
short,2011-09-29 00:00:00+00:00,4.7725,2011-10-06 00:00:00+00:00,True
short,2011-10-20 00:00:00+00:00,2.27,2011-10-27 00:00:00+00:00,True
short,2011-10-30 00:00:00+00:00,3.5811,2011-11-06 00:00:00+00:00,True
short,2011-11-19 00:00:00+00:00,2.05,2011-11-26 00:00:00+00:00,True
short,2011-12-03 00:00:00+00:00,3.1151,2011-12-10 00:00:00+00:00,True
short,2011-12-12 00:00:00+00:00,3.2511,2011-12-19 00:00:00+00:00,True
short,2012-01-09 00:00:00+00:00,7.1136,2012-01-16 00:00:00+00:00,True
short,2012-01-18 00:00:00+00:00,5.6,2012-01-25 00:00:00+00:00,True
short,2012-01-28 00:00:00+00:00,5.292,2012-02-04 00:00:00+00:00,True
short,2012-02-03 00:00:00+00:00,6.1,2012-02-10 00:00:00+00:00,True
short,2012-02-19 00:00:00+00:00,4.222,2012-02-26 00:00:00+00:00,True
short,2012-02-25 00:00:00+00:00,5.0288,2012-03-03 00:00:00+00:00,True
short,2012-03-04 00:00:00+00:00,4.6144,2012-03-11 00:00:00+00:00,True
short,2012-03-15 00:00:00+00:00,5.38,2012-03-22 00:00:00+00:00,True
short,2012-03-26 00:00:00+00:00,4.55,2012-04-02 00:00:00+00:00,True
short,2012-04-03 00:00:00+00:00,4.974,2012-04-10 00:00:00+00:00,True
short,2012-04-08 00:00:00+00:00,4.6872,2012-04-15 00:00:00+00:00,True
short,2012-04-21 00:00:00+00:00,5.35,2012-04-28 00:00:00+00:00,True
short,2012-04-30 00:00:00+00:00,4.9044,2012-05-07 00:00:00+00:00,True
short,2012-05-04 00:00:00+00:00,5.1344,2012-05-11 00:00:00+00:00,True
short,2012-05-11 00:00:00+00:00,4.85,2012-05-18 00:00:00+00:00,True
